Permalink,title,description,visual_first_3_seconds,background_music_type_first_3_seconds,published_time_ist,seven_day_views,year,quarter,target,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,Secondary_Category_1_new,Secondary_Category_2_new,time_distribution,date
https://www.facebook.com/1954072204870360/posts/2497837480493827/,lord krishna's butter ball that defies laws of gravity,कैसे ये बटर बॉल सदियों से दे रही है ग्रेविटी के सिद्धांतों को मात?,other,relevant,2019-11-19 12:05:00,87039,2019,4,high,rare,informative,rare,text only(to),object,neutral,rare,no_secondary_category,12 PM - 03 PM,2019-11-19
https://www.facebook.com/1954072204870360/posts/2497837480493827/,lord krishna's butter ball that defies laws of gravity,कैसे ये बटर बॉल सदियों से दे रही है ग्रेविटी के सिद्धांतों को मात?,other,relevant,2019-12-14 15:00:12,59825,2019,4,high,rare,informative,rare,text only(to),object,neutral,rare,no_secondary_category,3 PM - 6 PM,2019-12-14
https://www.facebook.com/1954072204870360/posts/2466328986978010/,haryana's young statesman dushyant chautala,"28 साल की उम्र में पहली बार ये बने थे सांसद, अब दादा ओमप्रकाश चौटाला की सियासत को दे रहे हैं टक्कर

dushyant chautala",famous personality (fp),relevant,2019-10-18 11:00:00,4457,2019,4,average,politics,informative,rare,text only(to),famous personality,rare,famous personality,no_secondary_category,9 AM - 12 PM,2019-10-18
https://www.facebook.com/1954072204870360/posts/2466243216986587/,ashok chavan - carrying the political legacy,"अशोक चव्हाण, जिन्होंने दो बार संभाला महाराष्ट्र के मुख्यमंत्री का पद 

ashok chavan",famous personality (fp),relevant,2019-10-17 19:00:07,2038,2019,4,low,politics,informative,rare,text only(to),famous personality,action,famous personality,no_secondary_category,6 PM - 9 PM,2019-10-17
https://www.facebook.com/1954072204870360/posts/2473217589622483/,historic story behind the occasion of bhai dooj,"क्या है भाई दूज की पौराणिक कथा?

(via newj dharohar)",famous personality (fp),relevant,2019-10-29 10:00:31,7484,2019,4,average,lifestyle,informative,rare,commoner voice(optv),commoner,happy,rare,rare,9 AM - 12 PM,2019-10-29
https://www.facebook.com/1954072204870360/posts/2465394770404765/,google pixel 4 won't launch in india,किस वजह से गूगल पिक्सेल 4 स्मार्टफोन्स भारत में नहीं होंगे लॉन्च?,other,relevant,2019-10-16 16:35:00,3571,2019,4,low,rare,informative,rare,text only(to),object,neutral,other,no_secondary_category,3 PM - 6 PM,2019-10-16
https://www.facebook.com/1954072204870360/posts/2467202143557361/,parle's net profit goes uphill,"10,000 कर्मचारियों को निकालने वाली पार्ले को हुआ था 15% से ज्यादा मुनाफा

parle-g",other,relevant,2019-10-19 10:00:00,14658,2019,4,high,rare,informative,rare,text only(to),object,neutral,rare,no_secondary_category,9 AM - 12 PM,2019-10-19
https://www.facebook.com/1954072204870360/posts/2473431329601109/,gujarat's 75-year-old 'batwoman',कैसे ये महिला अपने घर में करती है 400 से ज्यादा चमगादड़ों की संभाल?,other,relevant,2019-10-29 16:35:00,108138,2019,4,high,rare,emotions,rare,text only(to),commoner,neutral,rare,person specific,3 PM - 6 PM,2019-10-29
https://www.facebook.com/1954072204870360/posts/2473431329601109/,gujarat's 75-year-old 'batwoman',कैसे ये महिला अपने घर में करती है 400 से ज्यादा चमगादड़ों की संभाल?,other,relevant,2019-12-04 17:30:51,18638,2019,4,high,rare,emotions,rare,text only(to),commoner,neutral,rare,person specific,3 PM - 6 PM,2019-12-04
https://www.facebook.com/1954072204870360/posts/2472178403059735/,reason why people donate diya on narak chaturdashi,"क्यों किया जाता है नरक चतुर्दशी के दिन दीपदान?

(via newj dharohar)",other,relevant,2019-10-26 08:00:58,18425,2019,4,high,lifestyle,informative,rare,voice_over(vo),famous personality,happy,rare,no_secondary_category,6 AM - 9 AM,2019-10-26
